market_constraint,dayzer_constraint,pano_constraint
KELFORD 115 KV  126A | ACTUAL,KELFORD_115 KV_126A:ACTUAL,KELFORD 115KV - EARLEYS 115KV (KELFORD 115 KV 126A) | L115.Carolina-Hornertn-RoRapids-DarlDP-SJustice.81
CULVER  69 KV   CUL-OCC | 230/138.PINEYGROVE.AT20,CULVER_69 KV_CUL-OCC:230/138.PineyGrove.AT20,OCEANCTY 69KV - CULVER 69KV (CULVER 69 KV CUL-OCC) | 230/138.PineyGrove.AT20
ALBRIGHT 138 KV ALBRIGHT-GARRETT | L500.BLACKOAK-HATFIELD.542,BLACKOAK_138 KV_BLA-CRS:L500.BlackOak-Hatfield,ALBRIGHT 138KV - GARRETT 138KV (ALBRIGHT 138 KV ALB-GAR) | L500.BlackOak-Hatfield.542
CRANESCR_230KV2157A_1_LN | L500.LADYSMTH-CHANCELR.581,CRANESCR_230 KV_2157A:L500.LadySmth-Chancelr.581,FRDRKSBG 230KV - CRANESCR 230KV (CRANESCR 230 KV 2157A) | L500.LadySmth-Chancelr.581
HAVILAND69 KV   HAV-NVA | 345/138.ROBISONPARK.T5,HAVILAND_69 KV_HAV-NVA:345/138.RobisonPark.T5,HAVILAND 69KV - NVANWERT 69KV (HAVILAND 69 KV HAV-NVA) | 345/138.RobisonPark.T5
3ROCKY 115 KV 3ROCKY -BATTLEBO 123A | L115.TARBORO-TARBORO5-MORSBGDP-TARRIVERTAP.55,3ROCKY_115 KV_123A:L115.Tarboro-Tarboro5-MorsbgDP-TarRiverTap.55,3ROCKY 115KV - BATTLEBO 115KV (3ROCKY 115 KV 123A) | L115.Tarboro-Tarboro5-MorsbgDP-TarRiverTap.55
SHERWOOD_115KV91C_1_LN | L500.MIDLOTHIAN-NORTHANNA.576,SHERWOOD_115 KV_91C:L500.Midlothian-NorthAnna.576,TRANSCO 115KV - SHERWOOD 115KV (SHERWOOD 115 KV 91C) | L500.Midlothian-NorthAnna.576
CONASTON230 KV  CNS-NOR1 | L230.GRACETON-FVFRKS.110510 + 230/115.GRCTN.230-1,CONASTON_230 KV_CNS-NOR1:L230.Graceton-FvFrks.110510 + 230/115.Grctn.230-1,CONASTON230 KV  CNS-NOR1 | BASE
MAINSTRE138 KV  MAI-RIV1 | L138.BOSSERMAN-MICHIGANCITY,,RIVERSIM 138KV - MAINSTRE 138KV (MAINSTRE 138 KV MAI-RIV1) | L138.Bosserman-MichiganCity
DESOTO  138 KV  DES-MOD | 138/69.JAY.T1,DESOTO_138 KV_DES-MOD:138/69.Jay.T1,DESOTO 138KV - MODOC 138KV (DESOTO 138 KV DES-MOD) | 138/69.Jay.T1
BLAIRSVE138 KV  BLA-SOC | 500/230.KEYSTONE.T4,BLAIRSVE_138 KV_BLA-SOC:500/230.Keystone.T4,BLAIRSVE138 KV  NO.1 TX | KEYSTONE 4 TX 500-230 TRANSFORMER
CARL PN-GARDNERS 1049 B 115 KV | 500/230.KEYSTONE.T4,CARL PN_115 KV_CAR-GAR:500/230.Keystone.T4,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR) | 500/230.Keystone.T4
CEDAR_IT161 KV  CED-CEDL | ACTUAL,CEDAR_IT_161 KV_CED-CEDL:ACTUAL,
CARS DUQ138 KV  CAR-FOR | ACTUAL,CARS DUQ_138 KV_CAR-HOM:ACTUAL,CARS DUQ138 KV  CAR-FOR | BASE
BLAIRSVE138 KV  BLA-SOC | ACTUAL,BLAIRSVE_138 KV_BLA-SOC:ACTUAL,
111 ELEC 345 KV 111 ELECT J 45TR81 CT | ACTUAL,111 ELEC_345 KV_11124:ACTUAL,
DOEX530 345 KV  DOE-PIE1 | L345.12 DRESDEN-900 ELWOOD.1222,DOEX530_345 KV_DOE-PIE1:L345.12 Dresden-900 Elwood.1222,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) | L345.12 Dresden-900 Elwood.1222
ALLENIM 138 KV  ALL-LOG | L345.SOUTHBERWICK-GALION,ALLENIM_138 KV_ALL-LOG:L345.SouthBerwick-Galion,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG) | L345.SouthBerwick-Galion
ALLENPOR-CHARLERO CH-ALP A 138 KV | L500.CABOT-CRANBERRY,CABOT_138 KV_CAB-CAB:L500.Cabot-Cranberry,ALLENPOR 138KV - CHARLERO 138KV (ALLENPOR 138 KV ALL-CHA) | L500.Cabot-Cranberry
HAWTHORN 230 KV HAWTHORN-HINCHMAN N-2266 | ACTUAL,HINCHMAN_230 KV_T10:ACTUAL,
MEADOWBR-STRASBUR MST A 138 KV | L765.CULLODEN-WYOMING,HOPKINS_138 KV_HOPKINS:L765.Culloden-Wyoming,HOPKINS 138 KV  HOPKINS | L765.Culloden-Wyoming
GARRETAP-GARRETT B 115 KV | 500/230.KEYSTONE.T4,GARRETAP_115 KV_GAR-GAR:500/230.Keystone.T4,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR) | 500/230.Keystone.T4
BURCHESH 230 KV BURCHESH-TALBERT 23081 | 500/230.CHALKPOINT.T6,BURCHESH_230 KV_BUR-TAL1:500/230.ChalkPoint.T6,TALBERT 230KV - BURCHESH 230KV (BURCHESH 230 KV BUR-TAL1) | 500/230.ChalkPoint.T6
MILLBROO138 KV  MIL-SIN1 | L500.BROADFORD-SULLIVAN (TVA) TIE,MILLBROO_138 KV_MIL-SIN1:L500.Broadford-Sullivan (TVA) Tie,MILLBROO 138KV - SINKINGS 138KV (MILLBROO 138 KV MIL-SIN1) | L500.Broadford-Sullivan (TVA) Tie
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL | L500.FTMARTIN-RONCO.516,ALLLUD4J_138 KV_ALJ-ALL:L500.FtMartin-Ronco.516,ALLDAM6 138KV - ALLLUD4J 138KV (ALLLUD4J 138 KV ALJ-ALL) | L500.FtMartin-Ronco.516
AMPPARK169 KV   AP1-HAR1 | 230/69.COPPERSTONE.T2,,AMPPARK169 KV   AP1-HAR1 | 230/69.Copperstone.T2
51_MC_CO_T4_345TR82_1_XF | ACTUAL,51 MC CO_345 KV_TR84_1:ACTUAL,
DOEX530 345 KV  DOE-PIE2 | L345.12 DRESDEN-900 ELWOOD.1222,DOEX530_345 KV_DOE-PIE2:L345.12 Dresden-900 Elwood.1222,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2) | L345.12 Dresden-900 Elwood.1222
MICKLETO 230 KV MICKLETO MICK #4 XFORMER | 500/230.ORCHARD.T1,MICKLETO_230 KV_MICK #4:500/230.Orchard.T1,MICKLETO 230KV - MICKLETO 69KV (MICKLETO 230 KV MICK #4) | 500/230.Orchard.T1
LOCKS   230 KV  TX6_ | L115.CAROLINA-SOCKMAN-PLEASANTHILLTAP-SKIPPERS.130,LOCKS_230 KV_TX6_:L115.Carolina-Sockman-PleasantHillTap-Skippers.130,LOCKS 115KV - LOCKS 230KV (LOCKS 230 KV TX6_) | L115.Carolina-Sockman-PleasantHillTap-Skippers.130
116 GOOD345 KV  11622 | L345.12 DRESDEN-900 ELWOOD.1222,116 GOOD_345 KV_11622:L345.12 Dresden-900 Elwood.1222,900 ELWO 345KV - 116 GOOD 345KV (116 GOOD 345 KV 11622) | L345.12 Dresden-900 Elwood.1222
BURTONSV 230 KV BURTONSV-SANDYSPR 2334 | L230.CONASTONE-NORTHWEST.2310,BURTONSV_230 KV_BUR-SAN3:L230.Conastone-Northwest.2310,BURTONSV 230KV - SANDYSPG 230KV (BURTONSV 230 KV BUR-SAN3) | L230.Conastone-Northwest.2310
FARLEY2 69 KV   LIB-FARL | ACTUAL,FARLEY2_69 KV_LIB-FARL:ACTUAL,LIB_CHUR 69KV - FARLEY2 69KV (FARLEY2 69 KV LIB-FARL) | BASE
BULLRUN 230 KV  BUL-CLIF | L500.LOUDOUN-MORRISVILLE.569,BULLRUN_230 KV_BUL-CLIF:L500.Loudoun-Morrisville.569,CLIFTON 230KV - BULLRUN 230KV (BULLRUN 230 KV BUL-CLIF) | L500.Loudoun-Morrisville.569
WNEWPHIL138 KV  WNE-HIL1 | L765.GAVIN-MOUNTAINEER,WNEWPHIL_138 KV_WNE-HIL1:L765.Gavin-Mountaineer,HILLVIEW 138KV - WNEWPHIL 138KV (WNEWPHIL 138 KV WNE-HIL1) | L765.Gavin-Mountaineer
KERRDAM 115 KV 193D | L500.ELMONT-CUNNINGHAM.553,KERRDAM_115 KV_193D:L500.Elmont-Cunningham.553,KERRDP 115KV - KERRDAM 115KV (KERRDAM 115 KV 193D) | L500.Elmont-Cunningham.553
FROSTBU1_138KVFRO-RID_1_LN | L500.502JUNCTION-MTSTORM (TRAIL),FROSTBU1_138 KV_FRO-RID:L500.502Junction-MtStorm (TRAIL),FROSTBU1 138KV - RIDGELEY 138KV (FROSTBU1 138 KV FRO-RID) | L500.502Junction-MtStorm (TRAIL)
PINECRTP138 KV  PIN-RAG1 | L138.BIGSANDY-INEZ,PINECRTP_138 KV_PIN-RAG1:L138.BigSandy-Inez,
BENSONDP115 KV  BEN-COOL | L345.12 DRESDEN-900 ELWOOD.1222,BENSONDP_115 KV_BEN-COOL:L345.12 Dresden-900 Elwood.1222,COOLSPR 115KV - BENSONDP 115KV (BENSONDP 115 KV BEN-COOL) | L345.12 Dresden-900 Elwood.1222
BRIGHTON230 KV  BRI-MTZ5 | L500.DOUBS-GOOSECREEK.514,BRIGHTON_230 KV_BRI-MTZ5:L500.Doubs-GooseCreek.514,BRIGHTON 230KV - MTZION 230KV (BRIGHTON 230 KV BRI-MTZ5) | L500.Doubs-GooseCreek.514
55 HEGEW138 KV 0703 2 | ACTUAL,55 HEGEW_138 KV_0703 2:ACTUAL,55 HEGEW138 KV  0703 2 | L345.DvsCrk-Blm.17907+345/138.Blm.TR84 S SPOG2-24
BEAUMEAD230 KV  BEA-PARA | L500.BRAMBLETON-GOOSECREEK.558,BEAUMEAD_230 KV_BEA-PARA:L500.Brambleton-GooseCreek.558,BEAUMEAD 230KV - PARAGNPK 230KV (BEAUMEAD 230 KV BEA-PARA) | L500.Brambleton-GooseCreek.558
EVERETTS 230 KV EVERETTS-GREENVIL 218 | L500.CLOVERDALE-LEXINGTON.566,EVERETTS_230 KV_218:L500.Cloverdale-Lexington.566,GREENVIL 230KV - EVERETTS 230KV (EVERETTS 230 KV 218) | L500.Cloverdale-Lexington.566
WALDWICK 345 KV WALDWICK 345-1 XFORMER | ACTUAL,WALDWICK_345 KV_345-1:ACTUAL,WALDWICK 345-1    XFORMER   H  345 KV | 345/230.Waldwick.T3
GARRD_CO_69KVGAR-LANC_1_LN | ACTUAL,,
CASHCNDP230 KV  2135A | L500.DOOMS-CUNNINGHAM.534,CASHCNDP_230 KV_2135A:L500.Dooms-Cunningham.534,GORDONSV 230KV - CASHCNDP 230KV (CASHCNDP 230 KV 2135A) | L500.Dooms-Cunningham.534
OLIVUNPA345 KV  OLI-UNPA | L345.LASALLE - PLANO.0101,OLIVUNPA_345 KV_OLI-UNPA:L345.Lasalle - Plano.0101,970 UP N 345KV - OLIVUNPA 345KV (OLIVUNPA 345 KV OLI-UNPA) | L345.Lasalle - Plano.0101
ALTAVSTA 138 KV ALTAVSTA TX4 XFORMER | L500.CLOVERDALE-LEXINGTON.566,ALTAVSTA_138 KV_TX4:L500.Cloverdale-Lexington.566,ALTAVSTA 115KV - ALTAVSTA 138KV (ALTAVSTA 138 KV TX4) | L500.Cloverdale-Lexington.566
BURMA T1 XFORMER H 138 KV | L345.HANDSOMELAKE-WAYNE,BURMA_138 KV_T1:L345.HandsomeLake-Wayne,BURMA 138KV - BURMA 115KV (BURMA 138 KV T1) | L345.HandsomeLake-Wayne
GORE_APS_138KVGOR-STO_1_LN | L500.BEDINGTON-DOUBS,GORE APS_138 KV_GOR-STO:L500.Bedington-Doubs,GORE APS 138KV - STONEWAL 138KV (GORE APS 138 KV GOR-STO) | L500.Bedington-Doubs
CRANESCR230 KV  2157A | L500.LADYSMITH-POSSUM POINT.568,CRANESCR_230 KV_2157A:L500.Ladysmith-Possum Point.568,MINEROAD230 KV  2090A | L500.Ladysmith-Possum Point.568
REAMSDP 115 KV 69C | L115.CAROLINA-SOCKMAN-PLEASANTHILLTAP-SKIPPERS.130,REAMSDP_115 KV_69C:L115.Carolina-Sockman-PleasantHillTap-Skippers.130,REAMSDP 115KV - LOCKS 115KV (REAMSDP 115 KV 69C) | L115.Carolina-Sockman-PleasantHillTap-Skippers.130
CLOVERD2_T2_3453_XF | 345/138.CLOVERDALE.T19,CLOVERD2_345 KV_3:345/138.Cloverdale.T19,CLOVERD2 345KV - CLOVERD2 138KV (CLOVERD2 345 KV 3) | 345/138.Cloverdale.T19
LEESVILL 138 KV LEESVILL-ALTAVIST | L765.CLOVERDALE-JOSHUAFALLS,LEESVILL_138 KV_LEE-SMI1:L765.Cloverdale-JoshuaFalls,SMITHMOU 138KV - LEESVILL 138KV (LEESVILL 138 KV LEE-SMI1) | L765.Cloverdale-JoshuaFalls
POSSUMP4230 KV  TGT5 | ACTUAL,,
BERGENFI 230 KV BERGENFI-NEWMILFR BER-NEWO | ACTUAL,BERGENFI_230 KV_BER-NEWO:ACTUAL,NEWMILFR 230KV - BERGENFI 230KV (BERGENFI 230 KV BER-NEWO) | BASE
SEWARD 230 KV 9 TX | L230.HOMERCITY-JOHNSTOWN,SEWARD_230 KV_9 TX:HomerCity-Johnstown230kv,SEWARD 230KV - SEWARD 115KV (SEWARD 230 KV 9 TX) | L230.HomerCity-Johnstown
FRDRKSBG230 KV  2083A | L500 CHICKAHOMINY-ELMONT.557A(SCTNLZ),FRDRKSBG_230 KV_2083A:L500 Chickahominy-Elmont.557A(Sctnlz),FRDRKSBG 230KV - BIRCHWD 230KV (FRDRKSBG 230 KV 2083A) | L500 Chickahominy-Elmont.557A(Sctnlz)
CARL PN-GARDNERS 1049 B 115 KV | L138.BEDINGTON-HARMONYJCT-MARLOWE-CHERRYRUN,CARL PN_115 KV_CAR-GAR:L138.Bedington-HarmonyJct-Marlowe-CherryRun,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR) | L138.Bedington-HarmonyJct-Marlowe-CherryRun
AQUAHAR 230 KV  2119 | L500.BRISTERS-OX.539,AQUAHAR_230 KV_AQU-GAR1:L500.Bristers-Ox.539,AQUAHAR 230 KV  2119 | L500.Bristers-Ox.539
BERLNLK 138 KV  BER-BLUE | L345.WELLSVILLE-SAMMIS,BERLNLK_138 KV_BER-BLUE:L345.Wellsville-Sammis,BERLNLK 138KV - BLUEBELL 138KV (BERLNLK 138 KV BER-BLUE) | L345.Wellsville-Sammis
CEDARCRE 230 KV CEDARCRE-REDLION 23030 | L230.CARTANZA-MILFORD.23033,CEDARCRE_230 KV_AT20:L230.Cartanza-Milford.23033,CEDARCRE-REDLION 23030      B  230 KV | L230.Cartanza-Milford.23033
RACINE  69 KV   2 | ACTUAL,RACINE_69 KV_2:ACTUAL,
BRUNNERI 230 KV BRUNNERI-YORKANA 1055 | ACTUAL,YORKANA_230 KV_3 BANK:ACTUAL,BRUNNERI-YORKANA 1055       A  230 KV | L230.Jackson-TMI.1051
04MFLDQ1 138 KV 04MFLDQ1-PAWNEETP 2 | L345.ERIEWEST-ASHTABULA-PERRY,PAWNEETP_138 KV_PAW-LER2:L345.ErieWest-Ashtabula-Perry,04MFLDQ1-PAWNEETP 2         A  138 KV | L345.ErieWest-Ashtabula-Perry
FLMINSBG138 KV  FLM-GODD | ACTUAL,FLMINSBG_138 KV_FLM-GODD:ACTUAL,
PERDUE 69 KV PERDUE-TASLEY 69 KV 6778-2 | ACTUAL,HALLWOOD_69 KV_HAL-OAK:L69.OakHall-Perdue-Tasley.6778,OAKHALL 69KV - HALLWOOD 69KV (HALLWOOD 69 KV HAL-OAK) | L69.OakHall-Perdue-Tasley.6778
DALESVIL230 KV  220-05 | ACTUAL,DALESVIL_230 KV_220-05:ACTUAL,DALESVIL230 KV  220-05 | BASE
BELMONT 138 KV  BEL-WILH | ACTUAL,BELMONT_138 KV_BEL-WILH:ACTUAL,WILLOWIH 138KV - BELMONT 138KV (BELMONT 138 KV BEL-WILH) | BASE
TODD 69 KV TODD-VIENNALO 6702-1 | L138.STEELE-EASTON.13712,TODD_69 KV_TOD-VNL:L138.Steele-Easton.13712,VIENNA-VIENNALO 6702-2      A  69 KV | 138/69.Easton.AT1 + L138.Steele-Easton.13712
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE | 345/138.ROBISONPARK.T5,LOCKWOOD_138 KV_LOC-RIC1:345/138.RobisonPark.T5,RICHLND 138KV - LOCKWOOD 138KV (LOCKWOOD 138 KV LOC-RIC1) | 345/138.RobisonPark.T5
QUADCITIES - ROCKCREEK 345 KV L/O QUADCITIES SUB 91 SUB 91 XF | L345.QUADCITIES-SUB91.0401,ROCK CRE_345 KV_TR21:L345.QuadCities-Sub91.0401,Rock Creek 345/161 TX l/o Quad Cities-Sub 91 345 kV | L345.QuadCities-Sub91.0401
BEAUMEAD230 KV  BEA-PARA | L500.BURCHESHILL-POSSUMPOINT.560,BEAUMEAD_230 KV_BEA-PARA:L500.BurchesHill-PossumPoint.560,BEAUMEAD 230KV - PARAGNPK 230KV (BEAUMEAD 230 KV BEA-PARA) | L500.BurchesHill-PossumPoint.560
CHARLERO 138 KV CHARLERO-UNIONJCT UNNJ-CH | L500.HARRISON-WYLIERIDGE.530,CHARLERO_138 KV_CHA-UNI:L500.Harrison-WylieRidge.530,CHARLERO 138KV - UNIONJCT 138KV (CHARLERO 138 KV CHA-UNI) | L500.Harrison-WylieRidge.530
HOMERCIT 230 KV HOMERCIT-SHELOCTA KHC 2014 | L500.CONEMAUGH-KEYSTONE.5003,SHELOCTA_230 KV_NO2:L500.Conemaugh-Keystone.5003,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE) | L500.Conemaugh-Keystone.5003
BRUNSWIC230 KV  BUR-MEA | L500.HOPATCONG-ROSELAND.5061,BRUNSWIC_230 KV_BRU-MEA:L500.Hopatcong-Roseland.5061,BRUNSWIC230 KV  BUR-MEA | L500.Hopatcong-Roseland.5061
PRESTON-TANYARD 6716-5 B 69 KV | L230.COOLSPRINGS-MILFORD.23069,PRESTON_69 KV_PRE-TAN:L230.CoolSprings-Milford.23069,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN) | L230.CoolSprings-Milford.23069
SAMMISFE138 KV  SAM-TOR2 | ACTUAL,SAMMISFE_138 KV_SAM-TOR2:ACTUAL,
CARTANZA230 KV  CAR-SIL | ACTUAL,CARTANZA_230 KV_CAR-SIL:ACTUAL,
KEENEY 500 KV KEENEY-ROCKSPRI 5025 | L500.ALBURTIS-BRANCHBURG.5016,WESCOSVI_500 KV_3:L500.Alburtis-Branchburg.5016,ROCKSPRI 500KV - KEENEY 500KV (KEENEY 500 KV KEE-ROC) | L500.Alburtis-Branchburg.5016
VINELAND69 KV   0712 | L69.SHERMAN-VINELAND.0761,VINELAND_69 KV_0712:L69.Sherman-Vineland.0761,VINELAND69 KV   0712 | L69.Sherman-Vineland.0761
DICKERSH 230 KV DICKERSH-QUINCEOR 23032 | ACTUAL,DICKERSH_230 KV_DIC-QUI2:ACTUAL,DICKERSH-QUINCEOR 23032     A  230 KV | L500.Burches Hill-Possum Point.560
DOEX530 345 KV  DOE-PIE1 | L765.BAKER-BROADFORD,DOEX530_345 KV_DOE-PIE1:L765.Baker-Broadford,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) | L765.Baker-Broadford
PIERC_DK345 KV  PIE-PIE2 | L345.TANNERSCREEK-MIAMIFORT,PIERC_DK_345 KV_PIE-PIE2:L345.TannersCreek-MiamiFort,PIERCE 345KV - PIERC_DK 345KV (PIERC_DK 345 KV PIE-PIE2) | L345.TannersCreek-MiamiFort
BARTONVI 138 KV BARTONVI-MEADOWBR MSW1 | ACTUAL,MEADOWBR_138 KV_MEA-WWI:ACTUAL,BARTONVI-MEADOWBR MSW1      B  138 KV | L500.Loudoun-Meadowbrook.5535
COLLIER 345 KV COL-TID | L345.TORONTO-WYLIERIDGE,COLLIER_345 KV_COL-TID:L345.Toronto-WylieRidge,TIDD_AEP 345KV - COLLIER 345KV (COLLIER 345 KV COL-TID) | L345.Toronto-WylieRidge
GORDONSV230 KV  GOR-REMI | L500.MORRISVILLE-SPOTSYLVANIA.594,GORDONSV_230 KV_GOR-REMI:L500.Morrisville-Spotsylvania.594,GORDONSV 230KV - REMINGTN 230KV (GORDONSV 230 KV GOR-REMI) | L500.Morrisville-Spotsylvania.594
GLENBROO69 KV   GLE-KOON | 230/66.MOUNTAIN.T1 (SCTNLZ),GLENBROO_69 KV_GLE-KOON:230/66.Mountain.T1 (Sctnlz),KOONSVIL 69KV - GLENBROO 69KV (GLENBROO 69 KV GLE-KOON) | 230/66.Mountain.T1 (Sctnlz)
THELMA 69 KV THE-THE1 | L500.CARSON-ROGERSROAD.585,THELMA_69 KV_THE-THE1:L500.Carson-RogersRoad.585,THELMA 69KV - THELMAEK 69KV (THELMA 69 KV THE-THE1) | L500.Carson-RogersRoad.585
CORNER 138 KV CORNER-LAYMAN | 765/500.BELMONT.T5 (SCTNLZ),CORNER_138 KV_COR-LAY:765/500.Belmont.T5 (Sectionalized),CORNER 138KV - LAYMAN 138KV (CORNER 138 KV COR-LAY) | 765/500.Belmont.T5 (Sctnlz)
PETERS 138 KV PETERS-UNIONJCT UNNJ-PTR | 500/230.KEYSTONE.T4,PETERS_138 KV_PET-UNI:500/230.Keystone.T4,UNIONJCT 138KV - PETERS 138KV (PETERS 138 KV PET-UNI) | 500/230.Keystone.T4
WEST CONTINGENCY 14 | L500.JUNIATA-KEYSTONE.5004,WEST contingency 14 L500.Juniata-Keystone.5004,APSOUTH contingency 19 | L500.Juniata-Keystone.5004
DOEX530 345 KV  DOE-PIE2 | CLIFTYCREEK.PLANT.LOSS_OF_SCRUBBER.XF_104A,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2) | CliftyCreek.Plant.Loss_of_Scrubber.XF_104A
7 STATE 345 KV 7 STATE TR82CT XFORMER | ACTUAL,7 STATE_345 KV_TR82CT:ACTUAL,7 STATE  TR82CT   XFORMER   H  345 KV | 345L17724
MAINESBG_115KVMAI-MAN_1_LN | ACTUAL,MAINESBG_115 KV_MAI-MAN:ACTUAL,
PIERC_DK345 KV  PIE-PIE1 | ACTUAL,PIERC_DK_345 KV_PIE-PIE1:ACTUAL,PIERC_DK345 KV  PIE-PIE1 | L345.East Bend-Terminal
OAKGROVE_230KVOAK-TAL7_1_LN | 500/230.CHALKPOINT.T6,OAKGROVE_230 KV_OAK-TAL7:500/230.ChalkPoint.T6,TALBERT 230KV - OAKGROVE 230KV (OAKGROVE 230 KV OAK-TAL7) | 500/230.ChalkPoint.T6
CAMPBEL2138 KV  CAM-ELI1 | L138.RICHLAND-NAOMI-MIDWAY-WAUSEON,,ELIMA 138KV - CAMPBEL2 138KV (CAMPBEL2 138 KV CAM-ELI1) | L138.Richland-Naomi-Midway-Wauseon
SHERWOOD_115KV91C_1_LN | L230.BREMO-CARTERSVILLE-POWHATAN-MIDLOTHIAN.2027,SHERWOOD_115 KV_91C:L230.Bremo-Cartersville-Powhatan-Midlothian.2027,TRANSCO 115KV - SHERWOOD 115KV (SHERWOOD 115 KV 91C) | L230.Bremo-Cartersville-Powhatan-Midlothian.2027
PIERC_DK345 KV  PIE-PIE1 | L345.RED BANK-TERMINAL,PIERC_DK_345 KV_PIE-PIE1:L345.Red Bank-Terminal,PIERCE 345KV - PIERC_DK 345KV (PIERC_DK 345 KV PIE-PIE1) | L345.Red Bank-Terminal
EWINDSOR230 KV  EWI-SMI | L230.CEDAR-OYSTERCREEK,EWINDSOR_230 KV_EWI-SMI:L230.Cedar-OysterCreek,EWINDSOR 230KV - SMITHBUR 230KV (EWINDSOR 230 KV EWI-SMI) | L230.Cedar-OysterCreek
SMITHJCT115 KV  SMI-YOR | 230/115.YORKANA.T3,SMITHJCT_115 KV_SMI-YOR:230/115.Yorkana.T3,SMITHJCT 115KV - YORK INC 115KV (SMITHJCT 115 KV SMI-YOR) | 230/115.Yorkana.T3
ALLENIM 138 KV  ALL-LOG | L765.DUMONT-SORENSON,ALLENIM_138 KV_ALL-LOG:L765.Dumont-Sorenson,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG) | L765.Dumont-Sorenson
CHERITON_69KVCHE-EAST_1_LN | ACTUAL,CHERITON_69 KV_CHE-EAST:ACTUAL,
TANNERSC-DEARBORN1 TIE A 345 KV | ACTUAL,TANNERSC_345 KV_5-P:ACTUAL,TANNERSC-DEARBORN1 TIE      A  345 KV | 345/138.Terminal.BK11
PLUM    138 KV  PLU-UNI | L500.KEYSTONE-SOUTHBEND.5001(513),PLUM_138 KV_PLU-UNI:L500.Keystone-SouthBend.5001(513),PLUM 138KV - UNIVERSA 138KV (PLUM 138 KV PLU-UNI) | L500.Keystone-SouthBend.5001(513)
BEAV DUQ138 KV  BEA-CRE8 | 345/138.CRESCENT.T1,BEAV DUQ_138 KV_BEA-CRE8:345/138.Crescent.T1,BEAV DUQ138 KV  BEA-VAL | 345/138.Crescent.T1
REMNTNCT230 KV  TXG1 | ACTUAL,,
EASTGATE 138 KV EASTGATE-LUXOR KF-LU | L500.CABOT-CRANBERRY,CABOT_138 KV_CAB-CAB:L500.Cabot-Cranberry,LUXOR 138KV - EASTGATE 138KV (EASTGATE 138 KV EAS-LUX) | L500.Cabot-Cranberry
TRMBL_LG345 KV  TRI-CLI1 | ACTUAL,TRMBL_LG_345 KV_TRI-CLI1:ACTUAL,
MACKEYS 230 KV  GSU | ACTUAL,MACKEYS_230 KV_GSU:ACTUAL,MACKEYS 34.5KV - MACKEYS 230KV (MACKEYS 230 KV GSU) | BASE
WEST CONTINGENCY 55 | L500.MTSTORM-MEADOWBROOK.5529,BED-BLA contingency 21 L500.MtStorm-Meadowbrook (TRAIL),WEST contingency 55 | L500.MtStorm-Meadowbrook.5529
AHOSKIE -TUNIS    136B      A  115 KV | L115.PECAN-CAROLINA.1010,AHOSKIE_115 KV_136B:L115.Pecan-Carolina.1010,TUNIS 115KV - AHOSKIE 115KV (AHOSKIE 115 KV 136B) | L115.Pecan-Carolina.1010
EDGEWOOD 115 KV EDGEWOOD-SHELOCTA LSH 1036 | L345.ERIESOUTH-ERIEWEST.3001,EDGEWOOD_115 KV_EDG-SHE:L345.ErieSouth-ErieWest.3001,SHELOCTA 115KV - EDGEWOOD 115KV (EDGEWOOD 115 KV EDG-SHE) | L345.ErieSouth-ErieWest.3001
HUNTERST115 KV  HUN-LNJ | ACTUAL,,HUNTERST115 KV  HUN-LNJ | BASE
DOUBS   500 KV  DOU-GOO | L500.POSSUM POINT-OX.571,DOUBS_500 KV_DOU-GOO:L500.Possum Point-Ox.571,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO) | L500.Possum Point-Ox.571
SAPONY  230 KV  TX2 | JEFFERSON-ROCKPORT 765+ROCKPORT UNIT 1,SAPONY_230 KV_TX2:Jefferson-Rockport 765+Rockport Unit 1,SAPONY 35KV - SAPONY 230KV (SAPONY 230 KV TX2) | Jefferson-Rockport 765+Rockport Unit 1
SAPONY  230 KV  TX2 | L230.HOMERCITY-SHELOCTA-KEYSTONE.2014 (SCTNLZ F),SAPONY_230 KV_TX2:L230.HomerCity-Shelocta-Keystone.2014 (Sctnlz F),SAPONY 35KV - SAPONY 230KV (SAPONY 230 KV TX2) | L230.HomerCity-Shelocta-Keystone.2014 (Sctnlz F)
